nFrame,nS,nI,nZ,nT,nV,pZ,pI
257,8,0,1,20,2827,0.1,0.2
258,8,0,1,20,2838,0.1,0.2
259,8,0,1,20,2849,0.1,0.2
260,8,0,1,20,2860,0.1,0.2
261,8,0,1,20,2871,0.1,0.2
262,8,0,1,20,2882,0.1,0.2
263,8,0,1,20,2893,0.1,0.2
264,8,0,1,20,2904,0.1,0.2
265,8,0,1,20,2915,0.1,0.2
266,8,0,1,20,2926,0.1,0.2
267,8,0,1,20,2937,0.1,0.2
268,8,0,1,20,2948,0.1,0.2
269,8,0,1,20,2959,0.1,0.2
270,8,0,1,20,2970,0.1,0.2
271,8,0,1,20,2981,0.1,0.2
272,8,0,1,20,2992,0.1,0.2
273,8,0,1,20,3003,0.1,0.2
274,8,0,1,20,3014,0.1,0.2
275,8,0,1,20,3025,0.1,0.2
276,8,0,1,20,3036,0.1,0.2
277,8,0,1,20,3047,0.1,0.2
278,8,0,1,20,3058,0.1,0.2
279,8,0,1,20,3069,0.1,0.2
280,7,1,1,20,3080,0.1,0.2
281,8,0,1,20,3091,0.1,0.2
282,7,1,1,20,3102,0.1,0.2
283,7,1,1,20,3113,0.1,0.2
284,7,1,1,20,3124,0.1,0.2
285,7,1,1,20,3135,0.1,0.2
286,7,1,1,20,3146,0.1,0.2
287,7,1,1,20,3157,0.1,0.2
288,7,1,1,20,3168,0.1,0.2
289,7,0,2,20,3179,0.1,0.2
290,7,0,2,20,3190,0.1,0.2
291,7,0,2,20,3201,0.1,0.2
292,7,0,2,20,3212,0.1,0.2
293,7,0,2,20,3223,0.1,0.2
294,7,0,2,20,3234,0.1,0.2
295,7,0,2,20,3245,0.1,0.2
296,7,0,2,20,3256,0.1,0.2
297,7,0,2,20,3267,0.1,0.2
298,7,0,2,20,3278,0.1,0.2
299,7,0,2,20,3289,0.1,0.2
300,7,0,2,20,3300,0.1,0.2
301,7,0,2,20,3311,0.1,0.2
302,7,0,2,20,3322,0.1,0.2
303,7,0,2,20,3333,0.1,0.2
304,7,0,2,20,3344,0.1,0.2
305,7,0,2,20,3355,0.1,0.2
306,7,0,2,20,3366,0.1,0.2
307,7,0,2,20,3377,0.1,0.2
308,7,0,2,20,3388,0.1,0.2
309,7,0,2,20,3399,0.1,0.2
310,7,0,2,20,3410,0.1,0.2
311,7,0,2,20,3421,0.1,0.2
312,7,0,2,20,3432,0.1,0.2
313,7,0,2,20,3443,0.1,0.2
314,7,0,2,20,3454,0.1,0.2
315,7,0,2,20,3465,0.1,0.2
316,7,0,2,20,3476,0.1,0.2
317,7,0,2,20,3487,0.1,0.2
318,7,0,2,20,3498,0.1,0.2
319,7,0,2,20,3509,0.1,0.2
320,7,0,2,20,3520,0.1,0.2
321,7,0,2,20,3531,0.1,0.2
322,7,0,2,20,3542,0.1,0.2
323,7,0,2,20,3553,0.1,0.2
324,7,0,2,20,3564,0.1,0.2
325,7,0,2,20,3575,0.1,0.2
326,7,0,2,20,3586,0.1,0.2
327,7,0,2,20,3597,0.1,0.2
328,7,0,2,20,3608,0.1,0.2
329,7,0,2,20,3619,0.1,0.2
330,7,0,2,20,3630,0.1,0.2
331,7,0,2,20,3641,0.1,0.2
332,7,0,2,20,3652,0.1,0.2
333,7,0,2,20,3663,0.1,0.2
334,7,0,2,20,3674,0.1,0.2
335,7,0,2,20,3685,0.1,0.2
336,7,0,2,20,3696,0.1,0.2
337,7,0,2,20,3707,0.1,0.2
338,7,0,2,20,3718,0.1,0.2
339,7,0,2,20,3729,0.1,0.2
340,7,0,2,20,3740,0.1,0.2
341,7,0,2,20,3751,0.1,0.2
342,7,0,2,20,3762,0.1,0.2
343,7,0,2,20,3773,0.1,0.2
344,7,0,2,20,3784,0.1,0.2
345,7,0,2,20,3795,0.1,0.2
346,7,0,2,20,3806,0.1,0.2
347,7,0,2,20,3817,0.1,0.2
348,7,0,2,20,3828,0.1,0.2
349,7,0,2,20,3839,0.1,0.2
350,7,0,2,20,3850,0.1,0.2
351,7,0,2,20,3861,0.1,0.2
352,7,0,2,20,3872,0.1,0.2
353,7,0,2,20,3883,0.1,0.2
354,7,0,2,20,3894,0.1,0.2
355,7,0,2,20,3905,0.1,0.2
356,7,0,2,20,3916,0.1,0.2
357,7,0,2,20,3927,0.1,0.2
358,7,0,2,20,3938,0.1,0.2
359,7,0,2,20,3949,0.1,0.2
360,7,0,2,20,3960,0.1,0.2
361,7,0,2,20,3971,0.1,0.2
362,7,0,2,20,3982,0.1,0.2
363,7,0,2,20,3993,0.1,0.2
364,7,0,2,20,4004,0.1,0.2
365,7,0,2,20,4015,0.1,0.2
366,7,0,2,20,4026,0.1,0.2
367,7,0,2,20,4037,0.1,0.2
368,7,0,2,20,4048,0.1,0.2
369,7,0,2,20,4059,0.1,0.2
370,7,0,2,20,4070,0.1,0.2
371,7,0,2,20,4081,0.1,0.2
372,7,0,2,20,4092,0.1,0.2
373,7,0,2,20,4103,0.1,0.2
374,7,0,2,20,4114,0.1,0.2
375,7,0,2,20,4125,0.1,0.2
376,7,0,2,20,4136,0.1,0.2
377,7,0,2,20,4147,0.1,0.2
378,7,0,2,20,4158,0.1,0.2
379,6,1,2,20,4169,0.1,0.2
380,7,0,2,20,4180,0.1,0.2
381,6,1,2,20,4191,0.1,0.2
382,7,0,2,20,4202,0.1,0.2
383,7,0,2,20,4213,0.1,0.2
384,7,0,2,20,4224,0.1,0.2
385,7,0,2,20,4235,0.1,0.2
386,7,0,2,20,4246,0.1,0.2
387,7,0,2,20,4257,0.1,0.2
388,7,0,2,20,4268,0.1,0.2
389,7,0,2,20,4279,0.1,0.2
390,7,0,2,20,4290,0.1,0.2
391,7,0,2,20,4301,0.1,0.2
392,7,0,2,20,4312,0.1,0.2
393,7,0,2,20,4323,0.1,0.2
394,7,0,2,20,4334,0.1,0.2
395,7,0,2,20,4345,0.1,0.2
396,7,0,2,20,4356,0.1,0.2
397,7,0,2,20,4367,0.1,0.2
398,7,0,2,20,4378,0.1,0.2
399,7,0,2,20,4389,0.1,0.2
400,7,0,2,20,4400,0.1,0.2
401,7,0,2,20,4411,0.1,0.2
402,7,0,2,20,4422,0.1,0.2
403,7,0,2,20,4433,0.1,0.2
404,7,0,2,20,4444,0.1,0.2
405,7,0,2,20,4455,0.1,0.2
406,7,0,2,20,4466,0.1,0.2
407,7,0,2,20,4477,0.1,0.2
408,7,0,2,20,4488,0.1,0.2
409,7,0,2,20,4499,0.1,0.2
410,7,0,2,20,4510,0.1,0.2
411,7,0,2,20,4521,0.1,0.2
412,7,0,2,20,4532,0.1,0.2
413,7,0,2,20,4543,0.1,0.2
414,7,0,2,20,4554,0.1,0.2
415,7,0,2,20,4565,0.1,0.2
416,7,0,2,20,4576,0.1,0.2
417,7,0,2,20,4587,0.1,0.2
418,7,0,2,20,4598,0.1,0.2
419,7,0,2,20,4609,0.1,0.2
420,7,0,2,20,4620,0.1,0.2
421,7,0,2,20,4631,0.1,0.2
422,7,0,2,20,4642,0.1,0.2
423,6,1,2,20,4653,0.1,0.2
424,7,0,2,20,4664,0.1,0.2
425,6,1,2,20,4675,0.1,0.2
426,7,0,2,20,4686,0.1,0.2
427,6,1,2,20,4697,0.1,0.2
428,6,1,2,20,4708,0.1,0.2
429,6,1,2,20,4719,0.1,0.2
430,6,1,2,20,4730,0.1,0.2
431,6,1,2,20,4741,0.1,0.2
432,6,1,2,20,4752,0.1,0.2
433,6,1,2,20,4763,0.1,0.2
434,6,1,2,20,4774,0.1,0.2
435,6,1,2,20,4785,0.1,0.2
436,6,1,2,20,4796,0.1,0.2
437,6,1,2,20,4807,0.1,0.2
438,6,1,2,20,4818,0.1,0.2
439,6,1,2,20,4829,0.1,0.2
440,6,1,2,20,4840,0.1,0.2
441,6,1,2,20,4851,0.1,0.2
442,6,1,2,20,4862,0.1,0.2
443,6,1,2,20,4873,0.1,0.2
444,6,1,2,20,4884,0.1,0.2
445,6,1,2,20,4895,0.1,0.2
446,6,1,2,20,4906,0.1,0.2
447,6,1,2,20,4917,0.1,0.2
448,6,1,2,20,4928,0.1,0.2
449,6,1,2,20,4939,0.1,0.2
450,6,1,2,20,4950,0.1,0.2
451,6,1,2,20,4961,0.1,0.2
452,6,1,2,20,4972,0.1,0.2
453,6,1,2,20,4983,0.1,0.2
454,6,1,2,20,4994,0.1,0.2
455,6,1,2,20,5005,0.1,0.2
456,6,1,2,20,5016,0.1,0.2
457,6,1,2,20,5027,0.1,0.2
458,6,0,3,20,5038,0.1,0.2
459,6,0,3,20,5049,0.1,0.2
460,6,0,3,20,5060,0.1,0.2
461,6,0,3,20,5071,0.1,0.2
462,6,0,3,20,5082,0.1,0.2
463,6,0,3,20,5093,0.1,0.2
464,5,1,3,20,5104,0.1,0.2
465,5,1,3,20,5115,0.1,0.2
466,5,1,3,20,5126,0.1,0.2
467,5,1,3,20,5137,0.1,0.2
468,5,1,3,20,5148,0.1,0.2
469,5,1,3,20,5159,0.1,0.2
470,5,1,3,20,5170,0.1,0.2
471,5,1,3,20,5181,0.1,0.2
472,5,1,3,20,5192,0.1,0.2
473,5,1,3,20,5203,0.1,0.2
474,5,1,3,20,5214,0.1,0.2
475,5,1,3,20,5225,0.1,0.2
476,5,1,3,20,5236,0.1,0.2
477,5,1,3,20,5247,0.1,0.2
478,5,1,3,20,5258,0.1,0.2
479,5,1,3,20,5269,0.1,0.2
480,5,1,3,20,5280,0.1,0.2
481,5,1,3,20,5291,0.1,0.2
482,5,1,3,20,5302,0.1,0.2
483,5,1,3,20,5313,0.1,0.2
484,5,1,3,20,5324,0.1,0.2
485,5,1,3,20,5335,0.1,0.2
486,5,1,3,20,5346,0.1,0.2
487,5,1,3,20,5357,0.1,0.2
488,5,1,3,20,5368,0.1,0.2
489,5,0,4,20,5379,0.1,0.2
490,5,0,4,20,5390,0.1,0.2
491,5,0,4,20,5401,0.1,0.2
492,5,0,4,20,5412,0.1,0.2
493,5,0,4,20,5423,0.1,0.2
494,5,0,4,20,5434,0.1,0.2
495,5,0,4,20,5445,0.1,0.2
496,5,0,4,20,5456,0.1,0.2
497,5,0,4,20,5467,0.1,0.2
498,5,0,4,20,5478,0.1,0.2
499,5,0,4,20,5489,0.1,0.2
500,5,0,4,20,5500,0.1,0.2
501,5,0,4,20,5511,0.1,0.2
502,5,0,4,20,5522,0.1,0.2
503,5,0,4,20,5533,0.1,0.2
504,5,0,4,20,5544,0.1,0.2
505,5,0,4,20,5555,0.1,0.2
506,5,0,4,20,5566,0.1,0.2
507,5,0,4,20,5577,0.1,0.2
508,5,0,4,20,5588,0.1,0.2
509,5,0,4,20,5599,0.1,0.2
510,5,0,4,20,5610,0.1,0.2
511,5,0,4,20,5621,0.1,0.2
512,5,0,4,20,5632,0.1,0.2
513,5,0,4,20,5643,0.1,0.2
514,5,0,4,20,5654,0.1,0.2
515,5,0,4,20,5665,0.1,0.2
516,5,0,4,20,5676,0.1,0.2
517,5,0,4,20,5687,0.1,0.2
518,5,0,4,20,5698,0.1,0.2
519,5,0,4,20,5709,0.1,0.2
520,5,0,4,20,5720,0.1,0.2
521,5,0,4,20,5731,0.1,0.2
522,5,0,4,20,5742,0.1,0.2
523,5,0,4,20,5753,0.1,0.2
524,5,0,4,20,5764,0.1,0.2
525,5,0,4,20,5775,0.1,0.2
526,5,0,4,20,5786,0.1,0.2
527,5,0,4,20,5797,0.1,0.2
528,5,0,4,20,5808,0.1,0.2
529,5,0,4,20,5819,0.1,0.2
530,5,0,4,20,5830,0.1,0.2
531,5,0,4,20,5841,0.1,0.2
532,5,0,4,20,5852,0.1,0.2
533,5,0,4,20,5863,0.1,0.2
534,5,0,4,20,5874,0.1,0.2
535,5,0,4,20,5885,0.1,0.2
536,5,0,4,20,5896,0.1,0.2
